model,co2production,co2usage,disk,ram,cores
tiny1,2000,100,200,4,1
tiny2,3000,150,500,8,1
tiny3,2500,100,500,6,1
classic1,6000,1000,1000,16,8
classic2,11000,2000,2000,32,16
classic3,6000,3000,2000,32,16
classic4,15000,3500,4000,32,32
classic5,12000,3000,1000,64,24
classic6,11500,3000,4000,16,24
large1,25000,10000,10000,64,64
large2,25000,8000,8000,32,40
large3,40000,15000,20000,128,80
storage1,13000,600,20000,8,4
storage2,10000,300,10000,8,1
storage3,15000,1000,25000,8,4
compute1,12000,4000,1000,16,40
compute2,13000,4500,500,16,48
compute3,16200,6000,1000,16,64
memory1,10000,1000,500,32,4
memory2,14000,1300,1000,128,8